event_id,domain,close_time,resolve_time,market_prob,baseline_prob,outcome
fpd-car-sca-2026-04-22-btts,sports,1776819600.0,1776909600.0,0.48,0.48,1
fpd-spo-int-2026-08-28-total-5pt5,sports,1787965200.0,1787968800.0,0.065,0.065,0
fpd-pun-sap-2026-08-08-sap,sports,1786237200.0,1786240800.0,0.535,0.535,1
fpd-ala-pun-2026-08-15-total-0pt5,sports,1786827600.0,1786831200.0,0.945,0.945,1
fpd-her-spo-2026-08-22-total-2pt5,sports,1787446800.0,1787450400.0,0.425,0.425,1
fpd-car-her-2026-04-12-spread-away-2pt5,sports,1775869200.0,1776027600.0,0.07,0.07,0
fpd-car-sca-2026-04-22-total-2pt5,sports,1776819600.0,1776909600.0,0.475,0.475,1
fpd-gua-per-2026-04-19-total-4pt5,sports,1776546000.0,1776632400.0,0.14,0.14,0
fpd-sap-per-2026-04-01-draw,sports,1775091600.0,1775095200.0,0.43,0.43,0
fpd-her-sca-2026-04-19-total-1pt5,sports,1776560400.0,1776632400.0,0.73,0.73,0
fpd-per-ala-2026-08-29-total-0pt5,sports,1788051600.0,1788055200.0,0.935,0.935,1
fpd-sap-car-2026-08-15-total-0pt5,sports,1786842000.0,1786845600.0,0.93,0.93,1
fpd-sca-her-2026-08-14-total-1pt5,sports,1786755600.0,1786759200.0,0.695,0.695,0
fpd-her-sca-2026-04-19-btts,sports,1776560400.0,1776632400.0,0.45,0.45,0
fpd-lib-sca-2026-04-01-total-1pt5,sports,1775091600.0,1775095200.0,0.51,0.51,1
fpd-per-pun-2026-04-12-total-4pt5,sports,1775948400.0,1776027600.0,0.105,0.105,1
fpd-pun-per-2026-08-21-spread-home-1pt5,sports,1787356800.0,1787360400.0,0.265,0.265,0
fpd-spo-int-2026-08-28-exact-score-1-0,sports,1787965200.0,1787968800.0,0.11,0.11,0
fpd-her-spo-2026-08-22-total-1pt5,sports,1787446800.0,1787450400.0,0.69,0.69,1
fpd-spo-lib-2026-04-22-btts,sports,1776812400.0,1776909600.0,0.52,0.52,0
fpd-her-spo-2026-08-22-exact-score-0-0,sports,1787446800.0,1787450400.0,0.1,0.1,0
fpd-her-sca-2026-04-19-total-3pt5,sports,1776560400.0,1776632400.0,0.265,0.265,0
fpd-spo-int-2026-08-28-exact-score-3-0,sports,1787965200.0,1787968800.0,0.065,0.065,0
fpd-sca-per-2026-04-26-total-3pt5,sports,1777075200.0,1777237200.0,0.245,0.245,0
fpd-pun-per-2026-08-21-total-3pt5,sports,1787356800.0,1787360400.0,0.3,0.3,0
fpd-per-ala-2026-08-29-first-half-total-1pt5,sports,1788051600.0,1788055200.0,0.35,0.35,0
fpd-spo-ala-2026-04-12-total-1pt5,sports,1775955600.0,1776027600.0,0.715,0.715,1
fpd-sap-per-2026-04-01-total-2pt5,sports,1775091600.0,1775095200.0,0.505,0.505,1
fpd-ala-sap-2026-04-19-total-4pt5,sports,1776636000.0,1776632400.0,0.11,0.11,0
fpd-int-sca-2026-08-09-int,sports,1786305600.0,1786309200.0,0.405,0.405,1
fpd-int-sca-2026-08-09-total-2pt5,sports,1786305600.0,1786309200.0,0.475,0.475,0
fpd-sap-gua-2026-04-22-total-4pt5,sports,1776907800.0,1776909600.0,0.235,0.235,1
fpd-pun-sap-2026-08-08-pun,sports,1786237200.0,1786240800.0,0.215,0.215,0
fpd-lib-sca-2026-04-01-draw,sports,1775091600.0,1775095200.0,0.43,0.43,0
fpd-pun-her-2026-04-01-draw,sports,1775091600.0,1775095200.0,0.44,0.44,0
fpd-per-ala-2026-08-29-draw,sports,1788051600.0,1788055200.0,0.255,0.255,1
fpd-pun-her-2026-04-01-her,sports,1775091600.0,1775095200.0,0.47,0.47,1
fpd-car-sca-2026-04-22-car,sports,1776819600.0,1776909600.0,0.6,0.6,1
fpd-int-sca-2026-08-09-total-1pt5,sports,1786305600.0,1786309200.0,0.73,0.73,1
