league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,H,1,0.24,0.2413,0.2446,0.2431,0.2394,0.2419,0,407427
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,H,6,0.25,0.2413,0.2446,0.2431,0.2394,0.2419,0,407427
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,H,24,0.24,0.2413,0.2446,0.2431,0.2394,0.2419,0,407427
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,D,1,0.28,0.2725,0.2784,0.2708,0.2769,0.2718,0,147693
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,D,6,0.28,0.2725,0.2784,0.2708,0.2769,0.2718,0,147693
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,D,24,0.27,0.2725,0.2784,0.2708,0.2769,0.2718,0,147693
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,A,1,0.49,0.4863,0.477,0.4861,0.4836,0.4863,1,386356
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,A,6,0.48,0.4863,0.477,0.4861,0.4836,0.4863,1,386356
E0,epl-bur-ful-2025-12-13,2025-12-13T17:30:00+00:00,A,24,0.51,0.4863,0.477,0.4861,0.4836,0.4863,1,386356
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,H,1,0.87,0.8474,0.8503,0.8502,0.8619,0.8661,1,2475825
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,H,6,0.87,0.8474,0.8503,0.8502,0.8619,0.8661,1,2475825
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,H,24,0.88,0.8474,0.8503,0.8502,0.8619,0.8661,1,2475825
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,D,1,0.1,0.1101,0.107,0.1049,0.102,0.0996,0,152357
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,D,6,0.11,0.1101,0.107,0.1049,0.102,0.0996,0,152357
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,D,24,0.09,0.1101,0.107,0.1049,0.102,0.0996,0,152357
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,A,1,0.038,0.0425,0.0427,0.0449,0.0361,0.0343,0,237455
